#This is a list of SRID code available
#It derives from GeoToolkit EPSG srid list with added extra ESRI and IGNF codes
#History
#[05_22_2016 - Giuseppe Aruta]
#   * First realize
#[09_01_2016 - Giuseppe Aruta] 
#   * Added INGF and ING Gèoportail codes
#   * Added measure units
#The srid codes are organized in the following way
#<COORD_REF_SYS_CODE>;<COORD_REF_SYS_NAME>;[COORD_REF_SYS_UNIT]
<2000>;<Anguilla 1957 British West Indies Grid>;[metre]
<2001>;<Antigua 1943 British West Indies Grid>;[metre]
<2002>;<Dominica 1945 British West Indies Grid>;[metre]
<2003>;<Grenada 1953 British West Indies Grid>;[metre]
<2004>;<Montserrat 1958 British West Indies Grid>;[metre]
<2005>;<St. Kitts 1955 British West Indies Grid>;[metre]
<2006>;<St. Lucia 1955 British West Indies Grid>;[metre]
<2007>;<St. Vincent 45 British West Indies Grid>;[metre]
<2008>;<NAD27(CGQ77) SCoPQ zone 2>;[metre]
<2009>;<NAD27(CGQ77) SCoPQ zone 3>;[metre]
<2010>;<NAD27(CGQ77) SCoPQ zone 4>;[metre]
<2011>;<NAD27(CGQ77) SCoPQ zone 5>;[metre]
<2012>;<NAD27(CGQ77) SCoPQ zone 6>;[metre]
<2013>;<NAD27(CGQ77) SCoPQ zone 7>;[metre]
<2014>;<NAD27(CGQ77) SCoPQ zone 8>;[metre]
<2015>;<NAD27(CGQ77) SCoPQ zone 9>;[metre]
<2016>;<NAD27(CGQ77) SCoPQ zone 10>;[metre]
<2017>;<NAD27(76) MTM zone 8>;[metre]
<2018>;<NAD27(76) MTM zone 9>;[metre]
<2019>;<NAD27(76) MTM zone 10>;[metre]
<2020>;<NAD27(76) MTM zone 11>;[metre]
<2021>;<NAD27(76) MTM zone 12>;[metre]
<2022>;<NAD27(76) MTM zone 13>;[metre]
<2023>;<NAD27(76) MTM zone 14>;[metre]
<2024>;<NAD27(76) MTM zone 15>;[metre]
<2025>;<NAD27(76) MTM zone 16>;[metre]
